Time (s),Speed (RPM),Torque (Nm),Flux (Wb),Voltage (V),Current (A),Power (W),Kp,Ki,Kd,PID Gain Adjustment,Speed Overshoot (RPM),Torque Ripple (Nm),Flux Ripple (Wb),Control Error (RPM),ISE,Stabilization Time (s),Load Disturbance (Nm),"Internal Disturbance (Friction, Temp)",Simulation Step (s),Platform/Method,Optimization Iteration,"Target (Success = 1, Failure = 0)"
0,1495.919884640269,19.575430176743502,0.09778601741814906,228.3917246236786,5.320223737127854,1185.9403303299591,1.0989003238625967,0.011088645409531472,0.005858663439077575,0.1608597040478221,5,0.15949334809484994,0.0015378654303418397,58.81394994359677,0.021151945852041103,2.3694285990392214,0.5962007691597085,0.023131107842639994,1,cRIO,8,1
1,1500.3536112170036,20.14324930464467,0.09299685100239236,228.87367555698216,5.471980042662168,1168.9702816070692,1.1901071024069516,0.008851678392403748,0.0035610571365500597,0.17256466852315755,3,-0.14218065755288886,0.011888092032100466,52.21837863444058,0.021692972165579312,2.0387310633262987,0.5055739773326368,0.06329526179448726,1,cRIO,6,1
2,1500.1226779337537,19.86562700474813,0.08376782305050202,225.68998616620058,5.151765853655165,1146.3815594468026,1.2480019590447713,0.009240922205156148,0.004998850435195334,0.16859057812698935,3,-0.014243240964563293,0.013749777330771741,51.21984923568337,0.01925294847534408,1.508328802152792,0.42601504204317964,0.030455931194963544,1,Simulink,8,1
3,1490.6930433840362,19.074221854135327,0.09301828671525506,228.41236911200946,5.1302254121364586,1162.7768300548119,1.1515319094976355,0.009242154212927022,0.00553693709283693,0.1614089554830592,4,-0.20691836263167632,0.010400135441737733,57.00789069499723,0.022831048495746003,2.0505766554260165,0.5244276628970528,0.11297793290093747,1,cRIO,3,1
4,1504.8951791273375,19.678423001399445,0.08773439420098035,229.62838877980045,4.987862913359616,1131.826954361691,1.3048080638025474,0.00904260723798411,0.0038463406485734312,0.14812757361858778,0,0.5046741235327098,0.0039930403058672185,47.89304289960287,0.010928047568097086,2.0456894546215736,0.5016537360011545,0.052514390868825075,1,cRIO,9,0
5,1495.4422227645045,19.75429479165522,0.1134648059555603,233.11948389456794,4.770586880056185,1154.9947213572761,1.1784528099757385,0.008605937061270276,0.00528483969535545,0.17281925864730815,5,0.09033249465683878,0.003959726866007154,50.70096083900093,0.016202574294510184,1.9899459127455805,0.31886525142762134,0.06824556393952436,1,Simulink,2,1
6,1497.4027172820408,19.467478441108135,0.09514799357917861,230.91139732919953,5.008107095633014,1130.1462563418997,1.1569784170331483,0.01024650960818247,0.004012824045140024,0.13206412399240042,4,-0.24081739003423933,0.004692635135381862,50.57810395210717,0.015170641828724516,2.0853078580053084,0.6490143595883477,0.04702889170198835,1,cRIO,8,1
7,1500.650755309928,20.595617597590373,0.11070857597912483,231.70863467834758,5.258349570146526,1155.6114993191725,1.1708535252200365,0.012189146582441135,0.006132842211712895,0.17210627802986575,0,0.008900416463847297,0.009904317591075457,53.50970488609513,0.019806061584441537,1.7957136082682252,0.4003258947917857,0.06602946488762809,1,Simulink,7,1
8,1502.2205298332437,20.067557836383862,0.1012681867061064,227.9470785743269,4.750341516171626,1155.1591170270708,1.2243169496885884,0.008757876854623342,0.006174237219407083,0.19426820351255822,4,-0.3442094251259326,0.005087918797595315,47.84792645656358,0.02684094511874289,2.180228726105845,0.6623861412322142,0.08307270432059716,1,Simulink,7,0
9,1497.3262459770453,19.63293243214714,0.10202377077563902,230.1901762766643,4.797656074400821,1114.6761857509657,1.2044566152806055,0.009128500328190332,0.005455491048204532,0.16624442622175792,7,-0.4077482477437709,0.014533241929046415,51.40145645982953,0.021462420939711478,1.927519513262384,0.47681220249387674,0.030799789556243438,1,Simulink,8,0
10,1491.5909277306682,20.362619925248133,0.08636656392594676,232.8233441277107,5.071204500717256,1169.188199937142,1.1676672183202854,0.007753056561959167,0.00465227643846903,0.1712836790585724,7,-0.26411925794932006,0.016462044652343646,48.88165362901042,0.010688933367755763,1.8602267639116012,0.4076599527474919,0.046680765370541506,1,cRIO,3,0
11,1498.1462450809618,20.047057706749616,0.10484410881202214,227.63031987904995,5.094743005307786,1168.9353909201386,1.083461360898714,0.013151363794450586,0.0057022043139226125,0.16912258082586515,6,-0.2041763403983019,0.013964808027227375,52.845147686298795,0.020657613650390785,1.9649240631358038,0.6210323849941554,0.04252558259019133,1,Simulink,3,0
