Index,Month-Year,Number of Tractor Sold,MA,CMA,st*It,,,,
1,Jan-03,141,,,,,,,
2,Feb-03,157,,,,,,,
3,Mar-03,185,,,,,,,
4,Apr-03,199,,,,,,,
5,May-03,203,,,,,,,
6,Jun-03,189,,,,,,,
7,Jul-03,207,176,176.1666667,1.175023652,,,INDEX,Seasonality
8,Aug-03,207,176.3333333,176.7916667,1.170869668,,,1,
9,Sep-03,171,177.25,177.75,0.962025316,,,2,
10,Oct-03,150,178.25,178.625,0.839748076,,,3,
11,Nov-03,138,179,179.2916667,0.769695561,,,4,
12,Dec-03,165,179.5833333,180.4166667,0.914549654,,,5,
1,Jan-04,145,181.25,182.5416667,0.794339192,,,6,
2,Feb-04,168,183.8333333,185.125,0.907494936,,,7,
3,Mar-04,197,186.4166667,187.5833333,1.050199911,,,8,
4,Apr-04,208,188.75,189.5,1.09762533,,,9,
5,May-04,210,190.25,190.8333333,1.100436681,,,10,
6,Jun-04,209,191.4166667,192.7083333,1.084540541,,,11,
7,Jul-04,238,194,195.5833333,1.216872603,,,12,
8,Aug-04,238,197.1666667,198.5,1.198992443,,,,
9,Sep-04,199,199.8333333,202,0.985148515,,,,
10,Oct-04,168,204.1666667,205.9583333,0.815698968,,,,
11,Nov-04,152,207.75,211.0416667,0.72023692,,,,
12,Dec-04,196,214.3333333,216,0.907407407,,,,
1,Jan-05,183,217.6666667,219.375,0.834188034,,,,
2,Feb-05,200,221.0833333,222.7916667,0.897699645,,,,
,Mar-05,249,224.5,225.875,1.102379635,,,,
,Apr-05,251,227.25,228.75,1.09726776,,,,
,May-05,289,230.25,232,1.245689655,,,,
,Jun-05,249,233.75,235.25,1.058448459,,,,
,Jul-05,279,236.75,238.0833333,1.171858593,,,,
,Aug-05,279,239.4166667,241.0416667,1.157476232,,,,
,Sep-05,232,242.6666667,243.5416667,0.952609068,,,,
,Oct-05,204,244.4166667,245.5833333,0.830675263,,,,
,Nov-05,194,246.75,247.5,0.783838384,,,,
,Dec-05,232,248.25,250.5833333,0.925839707,,,,
,Jan-06,215,252.9166667,254.7083333,0.844102732,,,,
,Feb-06,239,256.5,259,0.922779923,,,,
,Mar-06,270,261.5,262.7916667,1.02742984,,,,
,Apr-06,279,264.0833333,265.625,1.050352941,,,,
,May-06,307,267.1666667,268.625,1.142857143,,,,
,Jun-06,305,270.0833333,271.75,1.122355106,,,,
,Jul-06,322,273.4166667,274.75,1.171974522,,,,
,Aug-06,339,276.0833333,277,1.223826715,,,,
,Sep-06,263,277.9166667,280.4166667,0.937890045,,,,
,Oct-06,241,282.9166667,286.375,0.841553907,,,,
,Nov-06,229,289.8333333,293.0833333,0.78134774,,,,
,Dec-06,272,296.3333333,297.7916667,0.913390234,,,,
,Jan-07,247,299.25,301.25,0.819917012,,,,
,Feb-07,261,303.25,305,0.855737705,,,,
,Mar-07,330,306.75,308.25,1.070559611,,,,
,Apr-07,362,309.75,310.7916667,1.164767395,,,,
,May-07,385,311.8333333,312.25,1.232986389,,,,
,Jun-07,340,312.6666667,313.0416667,1.086117397,,,,
