,customer_id,churn,tenure,no_of_complaints,subscription_type,bill_type,Postpaid,Prepaid,Long,Short,Monthly
1,CUST00001,0,21,3,Postpaid,Long_Term,1,0,1,0,0
2,CUST00002,0,57,2,Postpaid,Monthly,1,0,0,0,1
3,CUST00003,0,30,0,Prepaid,Monthly,0,1,0,0,1
4,CUST00004,0,64,3,Postpaid,Monthly,1,0,0,0,1
5,CUST00005,0,68,0,Prepaid,Short_Term,0,1,0,1,0
6,CUST00006,0,4,3,Prepaid,Long_Term,0,1,1,0,0
7,CUST00007,0,38,1,Prepaid,Monthly,0,1,0,0,1
8,CUST00008,0,64,0,Postpaid,Short_Term,1,0,0,1,0
9,CUST00009,0,40,2,Prepaid,Monthly,0,1,0,0,1
10,CUST00010,1,33,2,Prepaid,Short_Term,0,1,0,1,0
11,CUST00011,0,69,1,Postpaid,Short_Term,1,0,0,1,0
12,CUST00012,1,33,2,Postpaid,Monthly,1,0,0,0,1
13,CUST00013,1,49,3,Postpaid,Long_Term,1,0,1,0,0
14,CUST00014,0,42,5,Prepaid,Short_Term,0,1,0,1,0
15,CUST00015,1,8,1,Prepaid,Monthly,0,1,0,0,1
16,CUST00016,0,65,1,Prepaid,Long_Term,0,1,1,0,0
17,CUST00017,0,18,0,Prepaid,Monthly,0,1,0,0,1
18,CUST00018,1,4,5,Postpaid,Monthly,1,0,0,0,1
19,CUST00019,1,24,4,Prepaid,Long_Term,0,1,1,0,0
20,CUST00020,1,69,4,Prepaid,Monthly,0,1,0,0,1
21,CUST00021,0,64,1,Postpaid,Monthly,1,0,0,0,1
22,CUST00022,0,50,2,Postpaid,Long_Term,1,0,1,0,0
23,CUST00023,0,46,1,Postpaid,Monthly,1,0,0,0,1
24,CUST00024,0,72,0,Postpaid,Monthly,1,0,0,0,1
25,CUST00025,0,48,1,Prepaid,Monthly,0,1,0,0,1
26,CUST00026,1,51,4,Prepaid,Short_Term,0,1,0,1,0
27,CUST00027,1,40,1,Postpaid,Short_Term,1,0,0,1,0
28,CUST00028,0,43,2,Prepaid,Monthly,0,1,0,0,1
29,CUST00029,0,22,0,Prepaid,Monthly,0,1,0,0,1
30,CUST00030,0,11,1,Postpaid,Short_Term,1,0,0,1,0
31,CUST00031,0,69,2,Postpaid,Monthly,1,0,0,0,1
32,CUST00032,0,65,1,Prepaid,Long_Term,0,1,1,0,0
33,CUST00033,0,50,2,Postpaid,Short_Term,1,0,0,1,0
34,CUST00034,0,57,2,Postpaid,Long_Term,1,0,1,0,0
35,CUST00035,1,3,2,Prepaid,Long_Term,0,1,1,0,0
36,CUST00036,0,35,2,Postpaid,Long_Term,1,0,1,0,0
37,CUST00037,0,55,1,Postpaid,Long_Term,1,0,1,0,0
38,CUST00038,0,16,2,Prepaid,Short_Term,0,1,0,1,0
39,CUST00039,1,24,1,Prepaid,Short_Term,0,1,0,1,0
40,CUST00040,1,17,3,Postpaid,Long_Term,1,0,1,0,0
41,CUST00041,1,11,0,Postpaid,Monthly,1,0,0,0,1
42,CUST00042,0,30,1,Prepaid,Short_Term,0,1,0,1,0
43,CUST00043,0,30,2,Postpaid,Short_Term,1,0,0,1,0
44,CUST00044,0,27,0,Prepaid,Short_Term,0,1,0,1,0
45,CUST00045,0,12,0,Prepaid,Monthly,0,1,0,0,1
46,CUST00046,0,11,2,Prepaid,Long_Term,0,1,1,0,0
47,CUST00047,1,18,3,Postpaid,Short_Term,1,0,0,1,0
48,CUST00048,0,34,1,Postpaid,Monthly,1,0,0,0,1
49,CUST00049,1,20,0,Prepaid,Long_Term,0,1,1,0,0
50,CUST00050,1,62,2,Prepaid,Short_Term,0,1,0,1,0
51,CUST00051,0,4,0,Prepaid,Monthly,0,1,0,0,1
52,CUST00052,0,32,2,Postpaid,Short_Term,1,0,0,1,0
53,CUST00053,0,58,2,Postpaid,Long_Term,1,0,1,0,0
54,CUST00054,1,10,0,Prepaid,Long_Term,0,1,1,0,0
55,CUST00055,0,41,0,Prepaid,Monthly,0,1,0,0,1
56,CUST00056,1,16,0,Postpaid,Monthly,1,0,0,0,1
57,CUST00057,0,10,0,Postpaid,Monthly,1,0,0,0,1
58,CUST00058,0,54,1,Prepaid,Monthly,0,1,0,0,1
59,CUST00059,0,65,2,Prepaid,Short_Term,0,1,0,1,0
60,CUST00060,0,28,0,Prepaid,Monthly,0,1,0,0,1
61,CUST00061,1,48,4,Postpaid,Long_Term,1,0,1,0,0
62,CUST00062,1,8,1,Prepaid,Monthly,0,1,0,0,1
63,CUST00063,1,28,1,Postpaid,Monthly,1,0,0,0,1
64,CUST00064,0,20,1,Prepaid,Long_Term,0,1,1,0,0
65,CUST00065,0,59,3,Prepaid,Monthly,0,1,0,0,1
66,CUST00066,1,33,0,Prepaid,Monthly,0,1,0,0,1
67,CUST00067,0,59,0,Postpaid,Monthly,1,0,0,0,1
68,CUST00068,0,59,3,Prepaid,Long_Term,0,1,1,0,0
69,CUST00069,0,57,4,Postpaid,Long_Term,1,0,1,0,0
70,CUST00070,0,32,1,Postpaid,Long_Term,1,0,1,0,0
71,CUST00071,0,55,1,Prepaid,Long_Term,0,1,1,0,0
72,CUST00072,0,46,1,Postpaid,Long_Term,1,0,1,0,0
73,CUST00073,0,51,0,Prepaid,Monthly,0,1,0,0,1
74,CUST00074,1,1,2,Prepaid,Monthly,0,1,0,0,1
75,CUST00075,0,35,2,Prepaid,Long_Term,0,1,1,0,0
76,CUST00076,0,17,1,Postpaid,Monthly,1,0,0,0,1
77,CUST00077,0,28,0,Prepaid,Short_Term,0,1,0,1,0
78,CUST00078,0,45,2,Postpaid,Short_Term,1,0,0,1,0
79,CUST00079,0,26,1,Postpaid,Monthly,1,0,0,0,1
80,CUST00080,0,9,0,Prepaid,Monthly,0,1,0,0,1
81,CUST00081,0,18,1,Prepaid,Short_Term,0,1,0,1,0
